City,State,FAA,IATA,ICAO,Airport,Role,Enplanements
Birmingham,Alabama,BHM,BHM,KBHM,Birmingham¡VShuttlesworth International Airport,P-S,"1,304,467"
Dothan,Alabama,DHN,DHN,KDHN,Dothan Regional Airport,P-N,"49,411"
Huntsville,Alabama,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),P-S,"527,801"
Mobile,Alabama,MOB,MOB,KMOB,Mobile Regional Airport,P-N,"288,209"
Montgomery,Alabama,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),P-N,"173,210"
Anchorage,Alaska,LHD,,PALH,Lake Hood Seaplane Base (also see Lake Hood Airstrip),P-N,"23,382"
Anchorage,Alaska,MRI,MRI,PAMR,Merrill Field,P-N,"19,144"
Anchorage,Alaska,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,"2,563,524"
Aniak,Alaska,ANI,ANI,PANI,Aniak Airport,P-N,"13,688"
Barrow,Alaska,BRW,BRW,PABR,Wiley Post¡VWill Rogers Memorial Airport,P-N,"45,300"
Bethel,Alaska,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base),P-N,"155,791"
Cordova,Alaska,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport,P-N,"18,649"
Deadhorse / Prudhoe Bay,Alaska,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport),P-N,"51,205"
Dillingham,Alaska,DLG,DLG,PADL,Dillingham Airport,P-N,"33,616"
Fairbanks,Alaska,FAI,FAI,PAFA,Fairbanks International Airport,P-S,"538,881"
Galena,Alaska,GAL,GAL,PAGA,Edward G. Pitka Sr. Airport,P-N,"10,532"
Homer,Alaska,HOM,HOM,PAHO,Homer Airport,P-N,"44,117"
Juneau,Alaska,JNU,JNU,PAJN,Juneau International Airport,P-N,"420,442"
Kenai,Alaska,ENA,ENA,PAEN,Kenai Municipal Airport,P-N,"92,485"
Ketchikan,Alaska,KTN,KTN,PAKT,Ketchikan International Airport,P-N,"127,881"
King Salmon,Alaska,AKN,AKN,PAKN,King Salmon Airport,P-N,"36,717"
Kodiak,Alaska,ADQ,ADQ,PADQ,Kodiak Airport,P-N,"79,682"
Kotzebue,Alaska,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport,P-N,"64,481"
Nome,Alaska,OME,OME,PAOM,Nome Airport,P-N,"60,655"
Petersburg,Alaska,PSG,PSG,PAPG,Petersburg James A. Johnson Airport,P-N,"21,896"
Sitka,Alaska,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport,P-N,"83,404"
St. Mary's,Alaska,KSM,KSM,PASM,St. Mary's Airport,P-N,"12,851"
Unalakleet,Alaska,UNK,UNK,PAUN,Unalakleet Airport,P-N,"16,948"
Unalaska,Alaska,DUT,DUT,PADU,Unalaska Airport (Tom Madsen Airport),P-N,"31,055"
Valdez,Alaska,VDZ,VDZ,PAVD,Valdez Airport (Pioneer Field),P-N,"12,631"
Wrangell,Alaska,WRG,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,"12,569"
Yakutat,Alaska,YAK,YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base),P-N,"10,756"
Bullhead City,Arizona,IFP,IFP,KIFP,Laughlin/Bullhead International Airport,P-N,"109,334"
Flagstaff,Arizona,FLG,FLG,KFLG,Flagstaff Pulliam Airport,P-N,"64,578"
Grand Canyon / Tusayan,Arizona,GCN,GCN,KGCN,Grand Canyon National Park Airport,P-N,"319,206"
Mesa,Arizona,IWA,AZA,KIWA,Phoenix¡VMesa Gateway Airport (formerly Williams AFB),P-S,"705,731"
Page,Arizona,PGA,PGA,KPGA,Page Municipal Airport,P-N,"17,435"
Peach Springs,Arizona,1G4,GCW,,Grand Canyon West Airport,P-N,"128,739"
Phoenix,Arizona,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,"20,896,265"
Tucson,Arizona,TUS,TUS,KTUS,Tucson International Airport,P-S,"1,594,594"
Yuma,Arizona,NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma,P-N,"74,742"
Fayetteville,Arkansas,XNA,XNA,KXNA,Northwest Arkansas Regional Airport,P-S,"673,810"
Fort Smith,Arkansas,FSM,FSM,KFSM,Fort Smith Regional Airport,P-N,"83,920"
Little Rock,Arkansas,LIT,LIT,KLIT,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),P-S,"958,824"
Texarkana,Arkansas,TXK,TXK,KTXK,Texarkana Regional Airport (Webb Field),P-N,"33,565"
Arcata / Eureka,California,ACV,ACV,KACV,Arcata Airport,P-N,"69,732"
Bakersfield,California,BFL,BFL,KBFL,Meadows Field,P-N,"100,433"
Burbank,California,BUR,BUR,KBUR,Bob Hope Airport (Hollywood Burbank Airport),P-M,"2,077,892"
Fresno,California,FAT,FAT,KFAT,Fresno Yosemite International Airport,P-S,"761,298"
Long Beach,California,LGB,LGB,KLGB,Long Beach Airport (Daugherty Field),P-S,"1,386,357"
Los Angeles,California,LAX,LAX,KLAX,Los Angeles International Airport,P-L,"39,636,042"
Mammoth Lakes,California,MMH,MMH,KMMH,Mammoth Yosemite Airport,P-N [nb 1],"21,826"
Monterey,California,MRY,MRY,KMRY,Monterey Regional Airport (was Monterey Peninsula Airport),P-N,"192,136"
Oakland,California,OAK,OAK,KOAK,Oakland International Airport,P-M,"5,934,639"
Ontario,California,ONT,ONT,KONT,Ontario International Airport,P-M,"2,104,625"
Palm Springs,California,PSP,PSP,KPSP,Palm Springs International Airport,P-S,"995,801"
Redding,California,RDD,RDD,KRDD,Redding Municipal Airport,P-N,"43,414"
Sacramento,California,SMF,SMF,KSMF,Sacramento International Airport,P-M,"4,969,366"
San Diego,California,SAN,SAN,KSAN,San Diego International Airport (Lindbergh Field),P-L,"10,340,164"
San Francisco,California,SFO,SFO,KSFO,San Francisco International Airport,P-L,"25,707,101"
San Jose,California,SJC,SJC,KSJC,Norman Y. Mineta San Jos_ International Airport,P-M,"5,321,603"
San Luis Obispo,California,SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field),P-N,"162,719"
Santa Ana,California,SNA,SNA,KSNA,John Wayne Airport (was Orange County Airport),P-M,"5,217,242"
Santa Barbara,California,SBA,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport),P-N,"329,751"
Santa Maria,California,SMX,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),P-N,"40,120"
Santa Rosa,California,STS,STS,KSTS,Charles M. Schulz¡VSonoma County Airport,P-N,"167,151"
Stockton,California,SCK,SCK,KSCK,Stockton Metropolitan Airport,P-N,"93,076"
Aspen,Colorado,ASE,ASE,KASE,Aspen-Pitkin County Airport (Sardy Field),P-N,"254,392"
Colorado Springs,Colorado,COS,COS,KCOS,City of Colorado Springs Municipal Airport,P-S,"657,694"
Denver,Colorado,DEN,DEN,KDEN,Denver International Airport,P-L,"28,267,394"
Durango,Colorado,DRO,DRO,KDRO,Durango-La Plata County Airport,P-N,"187,789"
Eagle,Colorado,EGE,EGE,KEGE,Eagle County Regional Airport,P-N,"163,840"
Grand Junction,Colorado,GJT,GJT,KGJT,Grand Junction Regional Airport (Walker Field),P-N,"218,319"
Gunnison,Colorado,GUC,GUC,KGUC,Gunnison-Crested Butte Regional Airport,P-N,"30,780"
Hayden,Colorado,HDN,HDN,KHDN,Yampa Valley Airport (Yampa Valley Regional),P-N,"34,979"
Montrose,Colorado,MTJ,MTJ,KMTJ,Montrose Regional Airport,P-N,"116,272"
Hartford,Connecticut,BDL,BDL,KBDL,Bradley International Airport,P-M,"2,982,194"
New Haven,Connecticut,HVN,HVN,KHVN,Tweed New Haven Regional Airport,P-N,"27,911"
Wilmington,Delaware,ILG,ILG,KILG,Wilmington Airport,P-N,"1,043"
Daytona Beach,Florida,DAB,DAB,KDAB,Daytona Beach International Airport,P-N,"342,495"
Fort Lauderdale,Florida,FLL,FLL,KFLL,Fort Lauderdale¡VHollywood International Airport,P-L,"14,263,270"
Fort Myers,Florida,RSW,RSW,KRSW,Southwest Florida International Airport,P-M,"4,239,261"
Gainesville,Florida,GNV,GNV,KGNV,Gainesville Regional Airport,P-N,"206,330"
Jacksonville,Florida,JAX,JAX,KJAX,Jacksonville International Airport,P-M,"2,729,129"
Key West,Florida,EYW,EYW,KEYW,Key West International Airport,P-S,"380,505"
Melbourne,Florida,MLB,MLB,KMLB,Orlando Melbourne International Airport,P-N,"220,360"
Miami,Florida,MIA,MIA,KMIA,Miami International Airport,P-L,"20,875,813"
Orlando,Florida,MCO,MCO,KMCO,Orlando International Airport,P-L,"20,283,541"
Orlando/Sanford,Florida,SFB,SFB,KSFB,Orlando Sanford International Airport,P-S,"1,321,675"
Panama City Beach,Florida,ECP,ECP,KECP,Northwest Florida Beaches International Airport [nb 2],P-S,"434,302"
Pensacola,Florida,PNS,PNS,KPNS,Pensacola International Airport,P-S,"986,766"
Punta Gorda,Florida,PGD,PGD,KPGD,Punta Gorda Airport,P-S,"558,482"
Sarasota/Bradenton,Florida,SRQ,SRQ,KSRQ,Sarasota¡VBradenton International Airport,P-S,"589,860"
St. Augustine,Florida,SGJ,UST,KSGJ,Northeast Florida Regional Airport,P-N,"28,462"
St. Petersburg/Clearwater,Florida,PIE,PIE,KPIE,St. Pete¡VClearwater International Airport,P-S,"915,672"
Tallahassee,Florida,TLH,TLH,KTLH,Tallahassee International Airport,P-N,"345,404"
Tampa,Florida,TPA,TPA,KTPA,Tampa International Airport,P-L,"9,194,994"
Valparaiso,Florida,VPS,VPS,KVPS,Destin¡VFort Walton Beach Airport / Eglin Air Force Base,P-S,"440,002"
West Palm Beach,Florida,PBI,PBI,KPBI,Palm Beach International Airport,P-M,"3,100,624"
